cell_id,lat,lon,theta,salt,dT_dx,dT_dy,dS_dx,dS_dy,f_coriolis,obs_u,obs_v,n_cycles
58,-65.0,-177.0,1.5408,34.7296,-0.06053,0.33546,0.00175,0.00295,-0.000132178,0.0396,-0.0074,69
62,-57.0,-177.0,2.6967,34.4842,-0.00634,0.13271,0.00025,-0.04425,-0.000122313,0.0372,-0.0038,217
65,-51.0,-177.0,3.2457,34.3893,0.20717,-0.05343,-0.02775,0.01286,-0.000113341,0.0206,-0.0316,213
66,-49.0,-177.0,3.4736,34.3851,0.52764,0.2577,-0.02817,-0.01058,-0.000110068,0.0252,-0.0743,266
68,-41.0,-177.0,5.9722,34.4103,0.06262,0.07811,-0.00498,-0.00378,-9.5681e-05,0.0188,-0.0157,339
70,-37.0,-177.0,5.4816,34.3812,-0.07856,-0.11903,-0.00944,-0.00924,-8.777e-05,-0.0035,-0.0052,326
71,-35.0,-177.0,5.2685,34.3651,-0.00969,-0.06521,-0.00796,-0.00224,-8.3652e-05,-0.0048,0.008,310
72,-33.0,-177.0,5.2046,34.3649,-0.0154,-0.00962,-0.00794,-0.00224,-7.9431e-05,-0.0021,0.0012,247
73,-31.0,-177.0,5.1571,34.354,-0.08237,-0.03437,-0.00891,-0.0029,-7.5114e-05,-0.0083,-0.0016,233
74,-29.0,-177.0,5.0645,34.3488,-0.0428,-0.04875,-0.00441,-0.0017,-7.0706e-05,-0.0078,0.003,257
80,-15.0,-177.0,3.8156,34.4962,0.05479,0.14098,-0.00105,0.01275,-3.7747e-05,0.0088,0.003,211
81,-13.0,-177.0,4.2004,34.5129,0.02511,0.12725,0.00018,0.00361,-3.2807e-05,-0.0024,0.0032,156
83,-9.0,-177.0,4.4324,34.5266,-0.00884,0.04751,0.00026,0.00104,-2.2815e-05,0.0021,-0.0001,347
84,-7.0,-177.0,4.4694,34.5366,0.00526,9e-05,0.00117,0.00692,-1.7774e-05,0.0048,-0.0036,152
86,-3.0,-177.0,4.5092,34.5508,0.01225,-0.03477,0.00013,0.00234,-7.633e-06,-0.0328,0.0038,267
88,1.0,-177.0,4.5555,34.5532,0.00309,-0.0077,0.00029,0.001,2.545e-06,-0.0304,0.0017,411
89,3.0,-177.0,4.5636,34.5561,-0.01036,0.0225,0.00067,-0.0002,7.633e-06,0.0072,0.001,170
90,5.0,-177.0,4.5552,34.5562,0.00141,-0.03039,-7e-05,0.00161,1.2711e-05,0.003,0.0029,140
91,7.0,-177.0,4.5571,34.5577,0.00391,0.00945,0.00015,-0.00027,1.7774e-05,-0.0075,-0.0005,189
93,11.0,-177.0,4.5425,34.5497,-0.00542,-0.03277,0.00043,-0.00295,2.7828e-05,-0.0163,0.0026,223
96,17.0,-177.0,4.325,34.5247,-0.00108,-0.0276,0.00054,-0.0034,4.264e-05,-0.0057,0.0021,130
98,21.0,-177.0,4.1079,34.4926,0.00236,-0.05805,0.00299,-0.01366,5.2265e-05,-0.0018,0.0008,247
100,25.0,-177.0,3.7833,34.3917,0.02461,-0.01756,0.00452,-0.02353,6.1635e-05,-0.0005,0.0023,162
102,29.0,-177.0,3.6719,34.307,0.01725,-0.02225,0.00364,-0.01217,7.0706e-05,-0.0085,-0.0076,128
103,31.0,-177.0,3.6379,34.287,-0.00582,-0.01974,0.00393,-0.00545,7.5114e-05,-0.009,-0.012,94
105,35.0,-177.0,3.5261,34.2913,-0.0201,-0.0177,0.00315,-0.00101,8.3652e-05,-0.0073,-0.0051,92
106,37.0,-177.0,3.5143,34.2891,0.01091,-0.02006,7e-05,0.00122,8.777e-05,0.0024,0.0022,134
107,39.0,-177.0,3.3659,34.3054,0.01813,-0.08345,0.00146,0.0122,9.1781e-05,0.0101,0.0062,75
109,43.0,-177.0,3.0864,34.3481,0.00081,-0.06185,-0.00062,0.00885,9.9464e-05,0.0075,0.0005,68
110,45.0,-177.0,2.9388,34.3705,0.00408,-0.0815,0.0001,0.01138,0.000103126,0.0151,-0.0001,137
111,47.0,-177.0,2.795,34.3878,0.00749,-0.04866,-0.00159,0.0049,0.000106662,0.0106,-0.0017,164
112,49.0,-177.0,2.6705,34.4092,0.01487,-0.05447,-0.00515,0.01319,0.000110068,0.0125,0.0034,119
114,53.0,-177.0,2.9375,34.332,-0.0115,-0.0451,0.00367,0.00882,0.000116475,0.0118,-0.0143,122
115,55.0,-177.0,2.8492,34.3508,-0.01295,-0.02657,0.0007,0.0034,0.000119467,-0.0036,0.0004,202
116,57.0,-177.0,2.8375,34.3471,0.00753,0.01465,-0.00278,-0.00647,0.000122313,-0.0079,0.0032,224
117,-69.0,-175.0,1.0598,34.7206,-0.025,-0.02136,-0.00069,-0.00034,-0.000136155,-0.0014,0.0091,20
118,-67.0,-175.0,1.0257,34.7194,-0.03688,0.02657,-0.00081,0.00114,-0.000134248,0.0237,-0.0094,32
119,-65.0,-175.0,1.4633,34.7296,-0.09819,0.32449,-0.00033,0.00408,-0.000132178,0.0325,0.0162,70
120,-63.0,-175.0,2.0164,34.717,-0.06848,0.14437,0.0057,-0.01575,-0.000129946,0.0213,0.005,142
121,-61.0,-175.0,2.2234,34.6758,-0.00796,0.07818,0.0006,-0.02359,-0.000127556,0.031,0.009,156
122,-59.0,-175.0,2.4424,34.5888,-0.01024,0.10892,0.00449,-0.04994,-0.000125011,0.0492,0.0055,154
123,-57.0,-175.0,2.6893,34.4863,-0.00854,0.12166,0.00381,-0.04088,-0.000122313,0.0418,0.0046,207
124,-55.0,-175.0,3.0397,34.3992,-0.09725,0.22977,0.01143,-0.03617,-0.000119467,0.0304,0.0038,196
125,-53.0,-175.0,3.6224,34.3421,0.05797,0.14285,0.00181,-0.00776,-0.000116475,0.0159,-0.0057,219
127,-49.0,-175.0,4.5057,34.347,0.73759,0.5526,-0.0154,-0.00292,-0.000110068,0.0796,-0.0737,226
128,-47.0,-175.0,5.4142,34.3495,0.25196,0.24776,-0.0012,0.00732,-0.000106662,0.0255,-0.018,230
130,-41.0,-175.0,5.9729,34.4065,-0.04102,0.01114,-0.00148,-0.00735,-9.5681e-05,0.0223,0.0109,302
131,-39.0,-175.0,5.6568,34.384,-0.04629,-0.17709,-0.00617,-0.01064,-9.1781e-05,-0.0095,-0.0027,301
134,-33.0,-175.0,5.2,34.3513,-0.01292,-0.00781,-0.00518,-0.00249,-7.9431e-05,-0.0018,-0.0014,243
135,-31.0,-175.0,5.1,34.3438,-0.00215,-0.05502,-0.00348,-0.00138,-7.5114e-05,-0.0046,0.0017,271
136,-29.0,-175.0,5.024,34.3419,0.00205,-0.04568,-0.00373,-0.00037,-7.0706e-05,-0.003,0.0058,321
137,-27.0,-175.0,4.8832,34.3444,-0.0321,-0.08245,-0.00192,0.00272,-6.6211e-05,-0.0188,0.0026,329
138,-25.0,-175.0,4.6708,34.3574,-0.01097,-0.10105,-0.0038,0.00946,-6.1635e-05,-0.0154,-0.0064,276
139,-23.0,-175.0,4.4557,34.3823,-0.00309,-0.08378,-0.00499,0.0131,-5.6985e-05,-0.0199,-0.0017,204
140,-17.0,-175.0,3.9186,34.4644,-0.00903,-0.08526,0.00377,0.02109,-4.264e-05,-0.0166,-0.0026,232
141,-15.0,-175.0,3.9795,34.497,0.05604,0.12941,0.00358,0.00883,-3.7747e-05,0.0125,-0.0071,153
142,-13.0,-175.0,4.2383,34.5126,-0.00467,0.08892,0.0001,0.00486,-3.2807e-05,-0.0022,-0.0031,225
143,-11.0,-175.0,4.4219,34.5218,0.00432,0.02006,-0.00034,0.00405,-2.7828e-05,-0.0006,0.0009,366
144,-9.0,-175.0,4.4269,34.5271,0.00273,0.04309,0.00082,0.00125,-2.2815e-05,0.0038,-0.0016,467
145,-7.0,-175.0,4.4714,34.5389,-0.00065,-0.00605,0.00092,0.00744,-1.7774e-05,0.0012,0.0023,180
147,-3.0,-175.0,4.5335,34.55,-0.00296,-0.02398,-0.00052,0.00219,-7.633e-06,-0.0262,0.0008,277
148,-1.0,-175.0,4.5533,34.551,0.00606,0.02955,-0.00031,0.00036,-2.545e-06,0.0123,-0.0006,272
149,1.0,-175.0,4.5648,34.5535,0.00226,-0.02545,0.00017,0.00176,2.545e-06,-0.0313,0.001,361
151,5.0,-175.0,4.5652,34.5567,-0.00131,-0.02452,0.00071,0.00159,1.2711e-05,0.0022,-0.0025,165
153,9.0,-175.0,4.5459,34.5558,0.00723,0.01348,0.00045,-0.00195,2.2815e-05,0.0064,0.0038,282
155,13.0,-175.0,4.5097,34.5447,0.01344,-0.01529,0.00061,-0.0034,3.2807e-05,0.0009,0.002,175
156,15.0,-175.0,4.4704,34.5354,0.02386,-0.0399,0.00035,-0.00432,3.7747e-05,-0.003,-0.0009,160
157,17.0,-175.0,4.3367,34.5263,0.03779,-0.06284,0.00038,-0.00406,4.264e-05,-0.0083,0.0013,95
158,19.0,-175.0,4.1992,34.5158,0.00956,-0.05378,0.00143,-0.00629,4.7482e-05,0.0048,0.0037,141
160,23.0,-175.0,3.9769,34.455,0.01199,-0.10148,0.00285,-0.02788,5.6985e-05,0.0013,-0.0014,124
161,25.0,-175.0,3.8081,34.3962,-0.00042,-0.04064,-0.00085,-0.02205,6.1635e-05,-0.0033,-0.0002,166
162,27.0,-175.0,3.7187,34.349,-0.0229,-0.02622,0.00215,-0.01834,6.6211e-05,0.0047,-0.0013,78
163,29.0,-175.0,3.6817,34.3167,-0.00797,-0.01395,0.00678,-0.01111,7.0706e-05,-0.0069,0.0028,129
164,31.0,-175.0,3.6367,34.294,-0.00154,-0.02539,0.00238,-0.00806,7.5114e-05,-0.0075,-0.0022,147
165,33.0,-175.0,3.5548,34.2933,0.0007,-0.04142,-0.00019,0.0054,7.9431e-05,-0.0001,0.0004,107
167,37.0,-175.0,3.5108,34.2919,-0.02507,-0.01919,0.00471,0.00196,8.777e-05,0.0031,-0.0008,107
168,39.0,-175.0,3.3898,34.308,-0.00966,-0.06568,0.00312,0.00931,9.1781e-05,0.0046,-0.0033,102
170,43.0,-175.0,3.1112,34.346,0.02269,-0.06994,-0.00106,0.00998,9.9464e-05,0.009,0.0041,78
174,51.0,-175.0,2.7471,34.3962,-0.00566,0.11156,-0.00013,-0.02572,0.000113341,-0.0524,-0.0053,73
176,55.0,-175.0,2.8407,34.3503,0.00762,-0.01629,-0.00428,0.00113,0.000119467,0.0008,-0.0018,242
177,57.0,-175.0,2.8537,34.3402,0.01865,0.01952,-0.00839,-0.00669,0.000122313,-0.0152,0.0112,156
178,-69.0,-173.0,1.035,34.7195,-0.03424,-0.02324,-0.00189,-0.00042,-0.000136155,0.0147,0.0192,15
181,-63.0,-173.0,1.946,34.7227,-0.0738,0.17227,0.00563,-0.01276,-0.000129946,0.028,0.0077,121
182,-61.0,-173.0,2.2173,34.676,-0.00761,0.10593,0.00106,-0.03023,-0.000127556,0.0304,-0.0059,164
184,-57.0,-173.0,2.6569,34.5002,-0.0509,0.11561,0.02079,-0.04285,-0.000122313,0.041,0.0202,192
185,-55.0,-173.0,2.9369,34.4189,-0.08489,0.21073,0.02373,-0.03705,-0.000119467,0.0369,0.0208,206
186,-53.0,-173.0,3.7083,34.3415,0.03596,0.27285,-0.00121,-0.01872,-0.000116475,0.0482,-0.0191,273
187,-51.0,-173.0,3.8174,34.3406,-0.00983,0.16353,-0.0023,0.00352,-0.000113341,-0.0025,-0.0217,246
188,-49.0,-173.0,5.1343,34.3402,0.07129,0.59633,0.00018,0.0028,-0.000110068,0.0674,-0.0015,255
189,-47.0,-173.0,5.504,34.348,-0.00501,-0.03269,-0.00172,0.00397,-0.000106662,0.0039,0.0002,247
190,-45.0,-173.0,5.6998,34.3658,-0.0582,0.08849,-0.0095,0.01371,-0.000103126,-0.0274,-0.0145,258
193,-39.0,-173.0,5.6056,34.3796,-0.04083,-0.13467,-0.00127,-0.00849,-9.1781e-05,-0.0059,0.0049,273
194,-37.0,-173.0,5.3561,34.3652,-0.03147,-0.10238,-0.00225,-0.00713,-8.777e-05,-0.0106,0.0051,349
195,-35.0,-173.0,5.1832,34.3497,-0.02739,-0.04128,-0.00312,-0.00442,-8.3652e-05,-0.0079,0.0006,279
199,-27.0,-173.0,4.8489,34.3407,-0.01468,-0.08188,-0.00162,0.00301,-6.6211e-05,-0.0117,-0.0002,286
200,-25.0,-173.0,4.6556,34.3543,-0.02198,-0.10688,-0.00042,0.01107,-6.1635e-05,-0.0183,-0.0011,297
201,-23.0,-173.0,4.417,34.3828,-0.03396,-0.08991,0.00196,0.01385,-5.6985e-05,-0.0142,0.0049,284
202,-21.0,-173.0,4.1865,34.4156,-0.02255,-0.12893,0.00419,0.0156,-5.2265e-05,-0.0103,0.0064,249
206,-13.0,-173.0,4.2522,34.5167,0.00184,0.05922,0.00215,0.00556,-3.2807e-05,-0.0054,-0.0012,207
207,-11.0,-173.0,4.4286,34.5241,0.00162,0.02888,0.00154,0.00306,-2.7828e-05,0.0017,-0.0001,314
208,-9.0,-173.0,4.4375,34.5297,0.00783,0.03624,0.00087,0.00186,-2.2815e-05,0.0019,0.0017,355
209,-7.0,-173.0,4.4755,34.5406,-1e-05,0.00059,-0.00019,0.00613,-1.7774e-05,0.0015,0.0001,187
210,-5.0,-173.0,4.5765,34.5441,-0.00759,0.02802,0.00039,0.00116,-1.2711e-05,0.0096,0.0021,174
212,-1.0,-173.0,4.5548,34.5508,0.00334,0.02078,-0.00022,0.00064,-2.545e-06,0.0063,-0.0023,269
215,5.0,-173.0,4.5546,34.5582,-0.00583,-0.0143,0.00014,0.00154,1.2711e-05,-0.0057,0.0,192
216,7.0,-173.0,4.5679,34.5582,0.00627,0.00849,0.00013,-0.00091,1.7774e-05,-0.0082,-0.0005,219
217,9.0,-173.0,4.5464,34.557,0.00233,0.01508,-0.00019,-0.0016,2.2815e-05,0.0061,-0.002,231
218,11.0,-173.0,4.5657,34.5507,-0.00268,-0.02883,0.0003,-0.00225,2.7828e-05,-0.0117,0.0006,256
219,13.0,-173.0,4.5314,34.5443,0.00343,-0.0039,-0.00038,-0.00458,3.2807e-05,-0.0002,-0.0014,208
220,15.0,-173.0,4.485,34.5348,-0.00649,-0.02292,-0.00013,-0.0038,3.7747e-05,-0.0029,-0.001,157
221,17.0,-173.0,4.4014,34.5266,0.00346,-0.07194,0.00018,-0.00299,4.264e-05,-0.0057,0.0041,115
223,21.0,-173.0,4.1075,34.501,0.01434,-0.02007,0.0004,-0.01051,5.2265e-05,-0.0033,-0.0006,224
225,25.0,-173.0,3.8062,34.392,0.00274,-0.05369,-0.00176,-0.02138,6.1635e-05,-0.0029,-0.0028,153
226,27.0,-173.0,3.7229,34.3525,0.02796,-0.02051,0.0004,-0.01335,6.6211e-05,0.0035,0.0004,138
228,31.0,-173.0,3.6066,34.2992,-0.01787,-0.02561,0.00311,-0.01061,7.5114e-05,-0.0134,0.0028,96
229,33.0,-173.0,3.564,34.2899,0.00388,-0.0234,-8e-05,0.00225,7.9431e-05,0.003,0.0026,152
232,39.0,-173.0,3.3618,34.3141,-0.00635,-0.06485,0.00049,0.00902,9.1781e-05,0.0187,0.0033,46
235,45.0,-173.0,2.9709,34.3705,0.00763,-0.07573,-0.00084,0.01052,0.000103126,0.0128,0.002,80
236,47.0,-173.0,2.8193,34.3871,0.00851,-0.06345,-0.002,0.00584,0.000106662,0.0117,0.0025,233
237,49.0,-173.0,2.7027,34.4013,0.02317,-0.03054,-0.0059,0.00687,0.000110068,0.0121,0.009,134
239,55.0,-173.0,2.8573,34.3428,0.00951,-0.01178,-0.00482,-0.00054,0.000119467,0.0011,0.0044,324
240,-67.0,-171.0,0.9618,34.7157,-0.03576,0.01791,-0.00243,0.00067,-0.000134248,0.0113,0.0107,17
242,-63.0,-171.0,1.8521,34.7288,-0.11915,0.18996,0.00567,-0.00856,-0.000129946,0.0295,0.0106,117
244,-59.0,-171.0,2.4256,34.6002,-0.01035,0.06361,0.00545,-0.02942,-0.000125011,0.0231,0.0023,207
245,-57.0,-171.0,2.5804,34.5301,-0.06077,0.07157,0.02243,-0.03003,-0.000122313,0.0238,0.0128,180
246,-55.0,-171.0,2.7921,34.4608,-0.12897,0.21746,0.03622,-0.04793,-0.000119467,0.0532,0.0383,201
249,-49.0,-171.0,4.9976,34.3386,-0.1085,0.66563,-0.00178,0.00323,-0.000110068,0.0905,0.0178,263
250,-47.0,-171.0,5.5741,34.3452,0.07011,0.02325,-0.00216,0.00266,-0.000106662,-0.0039,-0.018,266
251,-45.0,-171.0,5.6537,34.3533,-0.00245,0.03882,-0.00536,0.00808,-0.000103126,-0.0092,0.0052,295
252,-43.0,-171.0,5.7588,34.3855,-0.07859,0.08578,-0.01068,0.01518,-9.9464e-05,-0.0109,-0.01,295
253,-41.0,-171.0,5.7909,34.3925,-0.10212,-0.09776,-0.01096,-0.00745,-9.5681e-05,0.0065,0.0013,294
254,-39.0,-171.0,5.5056,34.3718,-0.05981,-0.1202,-0.00782,-0.00977,-9.1781e-05,-0.0053,0.0024,318
256,-35.0,-171.0,5.1253,34.3441,-0.03531,-0.0162,-0.00383,-0.00675,-8.3652e-05,-0.0076,0.0032,200
257,-33.0,-171.0,5.1274,34.3395,-0.03002,0.01301,-0.00397,-0.00095,-7.9431e-05,-0.0026,-0.0005,222
258,-31.0,-171.0,5.0871,34.3357,-0.01879,-0.05675,-0.00141,-0.00172,-7.5114e-05,-0.009,0.0013,169
263,-21.0,-171.0,4.1685,34.4201,-0.01184,-0.12428,0.00175,0.01828,-5.2265e-05,-0.0163,-0.0018,240
264,-19.0,-171.0,3.8696,34.4534,-0.0053,-0.11889,0.00125,0.01236,-4.7482e-05,-0.0062,0.0045,288
265,-17.0,-171.0,3.7939,34.4858,0.01883,0.05678,0.00369,0.01653,-4.264e-05,0.0071,0.002,296
267,-13.0,-171.0,4.2787,34.5157,0.00594,0.05849,-0.00237,0.00357,-3.2807e-05,-0.0021,-0.0022,244
269,-9.0,-171.0,4.4362,34.5322,-0.01029,0.0487,0.00146,0.00141,-2.2815e-05,-0.0015,-0.0002,503
270,-7.0,-171.0,4.48,34.5399,0.00556,-0.00476,0.00015,0.00558,-1.7774e-05,0.0043,0.0017,239
271,-5.0,-171.0,4.5615,34.5455,-0.005,0.01538,0.00032,0.00156,-1.2711e-05,0.0104,0.0002,186
272,-3.0,-171.0,4.5142,34.5505,-0.00686,-0.00907,0.00031,0.00081,-7.633e-06,-0.0348,-0.0004,215
273,-1.0,-171.0,4.5446,34.5513,-0.01419,0.02343,0.0007,0.00077,-2.545e-06,0.0073,-0.0009,341
275,3.0,-171.0,4.5671,34.5549,0.00392,0.00947,-0.00017,0.00067,7.633e-06,-0.0019,0.0005,193
276,5.0,-171.0,4.5581,34.5575,0.00462,-0.01853,-0.00037,0.00207,1.2711e-05,-0.0044,0.0001,225
277,7.0,-171.0,4.5756,34.5587,-0.00023,0.01196,0.00014,-0.00067,1.7774e-05,-0.0039,-0.0031,219
278,9.0,-171.0,4.5496,34.5558,0.00177,0.00115,-0.0,-0.00284,2.2815e-05,0.0023,0.0001,168
279,11.0,-171.0,4.5687,34.5494,-0.00535,-0.01829,-0.00018,-0.00162,2.7828e-05,-0.0137,0.0002,251
281,15.0,-171.0,4.4627,34.5356,-0.00228,-0.03151,0.00042,-0.00227,3.7747e-05,-0.0053,-0.0001,211
282,17.0,-171.0,4.3869,34.527,0.00086,-0.03238,0.00054,-0.00503,4.264e-05,-0.0015,-0.0047,119
284,21.0,-171.0,4.1384,34.5006,0.00197,-0.03017,-0.00116,-0.01112,5.2265e-05,-0.0044,0.0007,242
286,27.0,-171.0,3.7933,34.3574,0.01886,-0.04385,0.00814,-0.01858,6.6211e-05,0.0006,-0.0003,55
287,29.0,-171.0,3.6693,34.3258,0.01085,-0.04218,0.00131,-0.01176,7.0706e-05,-0.0042,-0.0023,167
288,31.0,-171.0,3.6004,34.3014,0.01055,-0.02043,-5e-05,-0.00803,7.5114e-05,-0.0069,-0.0025,246
289,33.0,-171.0,3.5636,34.2921,-0.00286,-0.022,0.00015,-0.00081,7.9431e-05,0.001,-0.003,210
290,35.0,-171.0,3.4972,34.296,0.00261,-0.02273,-0.00176,0.00328,8.3652e-05,-0.0053,0.0019,149
292,39.0,-171.0,3.356,34.3134,-0.00022,-0.04582,-0.00027,0.00679,9.1781e-05,0.002,0.0017,90
294,45.0,-171.0,2.9701,34.3694,-0.00457,-0.07557,0.00027,0.00949,0.000103126,0.0088,-0.0007,101
297,51.0,-171.0,2.7491,34.3921,-0.01971,0.04747,0.00616,-0.00912,0.000113341,-0.0131,-0.0029,150
298,55.0,-171.0,2.8507,34.3403,-0.01436,0.00805,-0.00036,-0.00586,0.000119467,-0.0036,0.0001,346
299,-65.0,-169.0,1.2017,34.7239,-0.13502,0.22641,-0.00479,0.00771,-0.000132178,0.0194,0.0074,54
300,-63.0,-169.0,1.7086,34.7335,-0.15109,0.2094,0.00274,-0.00289,-0.000129946,0.0176,0.0196,127
301,-61.0,-169.0,2.1631,34.6872,-0.02696,0.18678,0.00548,-0.03975,-0.000127556,0.044,0.0018,181
302,-59.0,-169.0,2.4047,34.6097,-0.02014,0.04655,0.00892,-0.02346,-0.000125011,0.0178,0.0128,222
304,-55.0,-169.0,2.684,34.4876,-0.01908,0.13011,0.00153,-0.03597,-0.000119467,0.0278,-0.0047,230
308,-47.0,-169.0,5.638,34.3425,0.0016,0.13679,-0.00098,0.00266,-0.000106662,-0.0017,-0.0,308
310,-43.0,-169.0,5.5877,34.3642,-0.08004,0.00265,-0.01233,0.0089,-9.9464e-05,-0.0098,-0.0033,254
314,-35.0,-169.0,5.0825,34.3347,-0.00815,-0.00425,-0.00575,-0.00413,-8.3652e-05,-0.0059,0.003,234
316,-31.0,-169.0,5.0244,34.3323,-0.02716,-0.03759,-0.0024,-0.0,-7.5114e-05,-0.001,0.0037,185
317,-29.0,-169.0,4.9433,34.3319,-0.0356,-0.03136,-0.0009,-4e-05,-7.0706e-05,-0.0081,0.0012,208
318,-27.0,-169.0,4.8088,34.3365,-0.04331,-0.10028,-0.00075,0.00418,-6.6211e-05,-0.0159,-0.0002,254
