cell_id,lat,lon,obs_u,obs_v,obs_speed
227,29.0,-173.0,-0.0049,-0.0031,0.00579827560572969
230,35.0,-173.0,-0.0009,-0.0021,0.0022847319317591723
231,37.0,-173.0,-0.008,-0.0134,0.015606408939919525
233,41.0,-173.0,-0.0016,-0.0042,0.004494441010848846
234,43.0,-173.0,0.0035,-0.0026,0.004360045871318328
238,51.0,-173.0,-0.0354,0.0078,0.036249137920783714
241,-65.0,-171.0,0.0242,-0.0005,0.024205164738129753
243,-61.0,-171.0,0.0268,0.0064,0.02755358415887124
247,-53.0,-171.0,0.0696,0.0185,0.07201673416644216
248,-51.0,-171.0,-0.0255,0.0186,0.031562794553081
255,-37.0,-171.0,-0.0089,-0.0017,0.009060905032059434
259,-29.0,-171.0,-0.0066,0.004,0.007717512552629895
260,-27.0,-171.0,-0.0154,0.0062,0.016601204775557706
261,-25.0,-171.0,-0.0166,0.0072,0.01809419796509367
262,-23.0,-171.0,-0.0154,0.0007,0.015415900881881668
266,-15.0,-171.0,-0.01,0.0036,0.010628264204469138
268,-11.0,-171.0,0.0032,0.0023,0.003940812099047606
274,1.0,-171.0,-0.0366,-0.0001,0.0366001366117669
280,13.0,-171.0,0.0075,0.0021,0.0077884529914483015
283,19.0,-171.0,0.0082,0.0044,0.009305912099305475
285,23.0,-171.0,0.0033,-0.0003,0.003313608305156178
291,37.0,-171.0,0.0002,0.0001,0.00022360679774997898
293,41.0,-171.0,0.0064,0.0033,0.007200694410957877
295,47.0,-171.0,0.0141,-0.0015,0.014179562757715768
296,49.0,-171.0,0.0141,0.0003,0.01410319112825179
303,-57.0,-169.0,0.0307,0.0016,0.030741665537182595
305,-53.0,-169.0,0.0736,0.0696,0.10129718653546109
306,-51.0,-169.0,0.0191,0.0362,0.040929817981515626
307,-49.0,-169.0,0.0896,-0.0288,0.09411482348705755
309,-45.0,-169.0,-0.0113,-0.0034,0.011800423721205947
311,-41.0,-169.0,0.0054,0.0006,0.00543323108288245
312,-39.0,-169.0,0.0,0.0013,0.0013
313,-37.0,-169.0,-0.0076,0.0084,0.011327841806805036
315,-33.0,-169.0,-0.0037,0.0055,0.00662872536767062
320,-23.0,-169.0,-0.0137,0.0001,0.013700364958642526
321,-21.0,-169.0,-0.0135,-0.0003,0.013503332921912279
322,-19.0,-169.0,-0.0081,-0.0046,0.009315041599477696
324,-15.0,-169.0,-0.0028,0.002,0.003440930106817051
328,-7.0,-169.0,0.0073,-0.0009,0.007355270219373317
330,-3.0,-169.0,-0.0284,-0.0009,0.0284142569848307
332,1.0,-169.0,-0.0258,-0.0028,0.02595149321330085
336,9.0,-169.0,0.0006,-0.0029,0.0029614185789921693
339,15.0,-169.0,-0.0136,-0.0013,0.013661991070118586
341,19.0,-169.0,0.0097,-0.002,0.009904039579888602
343,23.0,-169.0,-0.0059,0.0074,0.009464142856064674
345,27.0,-169.0,-0.0009,0.001,0.001345362404707371
351,39.0,-169.0,-0.0033,-0.0029,0.004393176527297759
356,49.0,-169.0,0.0078,0.0047,0.009106591019695569
357,51.0,-169.0,0.002,0.0001,0.0020024984394500784
360,-65.0,-167.0,0.0135,0.0329,0.035562058433110985
374,-37.0,-167.0,-0.0033,-0.0015,0.0036249137920783716
375,-35.0,-167.0,-0.0037,0.0037,0.005232590180780452
387,-11.0,-167.0,0.0028,-0.0001,0.00280178514522438
390,-5.0,-167.0,0.0179,-0.0054,0.018696791168540124
392,-1.0,-167.0,0.0084,-0.0018,0.00859069263796581
394,3.0,-167.0,0.0057,0.0062,0.008421995013059555
398,11.0,-167.0,-0.0202,0.0023,0.02033051893090779
399,13.0,-167.0,0.0025,-0.0012,0.002773084924772409
402,19.0,-167.0,0.0032,0.0027,0.004186884283091664
407,31.0,-167.0,-0.0045,-0.0004,0.004517742799230606
409,35.0,-167.0,-0.0038,-0.0013,0.00401621712560464
410,37.0,-167.0,0.002,0.0068,0.0070880180586677406
412,41.0,-167.0,0.0067,-0.0037,0.007653757247260982
413,43.0,-167.0,-0.0017,-0.0003,0.0017262676501632068
414,45.0,-167.0,0.0075,-0.0007,0.007532595834106592
415,47.0,-167.0,0.0125,-0.0004,0.012506398362438326
416,49.0,-167.0,0.0101,0.0038,0.010791200118615167
417,51.0,-167.0,0.0034,0.0002,0.0034058772731852802
418,-67.0,-165.0,0.0062,0.0036,0.007169379331573968
423,-57.0,-165.0,0.0228,0.0189,0.0296150299679065
427,-49.0,-165.0,0.0306,0.052,0.060335395913178526
429,-45.0,-165.0,-0.0062,0.0036,0.007169379331573968
430,-43.0,-165.0,-0.0158,0.0087,0.01803690660839602
432,-39.0,-165.0,-0.0048,0.0015,0.0050289163842720625
437,-29.0,-165.0,-0.0055,0.0024,0.006000833275470999
443,-17.0,-165.0,0.0061,0.0008,0.00615223536610881
444,-15.0,-165.0,-0.0029,-0.0012,0.003138470965295043
450,-3.0,-165.0,-0.0416,0.0012,0.04161730409336962
452,1.0,-165.0,-0.0235,-0.0016,0.023554405108174564
453,3.0,-165.0,-0.005,-0.006,0.0078102496759066544
455,7.0,-165.0,0.0009,0.0,0.0009
457,11.0,-165.0,-0.0142,-0.0039,0.014725827650763811
460,17.0,-165.0,-0.0068,-0.0035,0.0076478755219995575
464,25.0,-165.0,-0.0004,0.0034,0.003423448553724738
465,27.0,-165.0,-0.0046,0.004,0.006095900261651269
469,35.0,-165.0,-0.004,-0.0003,0.0040112342240263155
480,-63.0,-163.0,0.0316,0.0192,0.03697566767483719
481,-61.0,-163.0,0.0466,0.0156,0.049141835537553955
482,-59.0,-163.0,0.0307,0.009,0.03199203025755008
484,-55.0,-163.0,0.0595,0.001,0.05950840276801252
490,-43.0,-163.0,-0.0061,-0.0032,0.00688839603971781
495,-33.0,-163.0,-0.0046,0.0075,0.008798295289429652
498,-27.0,-163.0,-0.0135,0.0017,0.01360661603779573
507,-9.0,-163.0,-0.001,-0.0011,0.0014866068747318507
508,-7.0,-163.0,0.0031,0.0037,0.004827007354458868
510,-3.0,-163.0,-0.0383,-0.0019,0.03834709897762802
516,9.0,-163.0,0.0055,-0.0009,0.0055731499172371095
521,19.0,-163.0,-0.0026,-0.0011,0.002823118842698621
522,21.0,-163.0,0.0019,0.0017,0.002549509756796392
524,25.0,-163.0,-0.0096,0.0009,0.009642095207992918
528,33.0,-163.0,-0.0051,-0.0006,0.005135172830587107
530,37.0,-163.0,-0.0004,-0.0019,0.00194164878389476
533,43.0,-163.0,0.0005,0.0002,0.0005385164807134503
534,45.0,-163.0,0.0067,-0.0009,0.006760177512462229
535,47.0,-163.0,0.0102,-0.0007,0.01022399139279763
540,-73.0,-161.0,-0.0156,0.0029,0.01586726189359714
545,-59.0,-161.0,0.0224,0.0062,0.023242202993692316
551,-47.0,-161.0,0.0039,0.0042,0.00573149195236284
555,-39.0,-161.0,-0.0064,0.003,0.007068238818828917
556,-37.0,-161.0,-0.0059,0.0075,0.009542536350467836
561,-27.0,-161.0,-0.0122,0.007,0.014065560778013794
571,-7.0,-161.0,0.0055,-0.0028,0.006171709649683789
572,-5.0,-161.0,0.0133,0.0025,0.013532922818075922
576,3.0,-161.0,0.0002,-0.0011,0.001118033988749895
580,11.0,-161.0,-0.0143,0.0007,0.014317122615944868
583,17.0,-161.0,-0.009,0.0055,0.010547511554864492
585,21.0,-161.0,-0.0034,0.0031,0.004601086828130936
586,23.0,-161.0,-0.0043,0.0064,0.007710382610480494
587,25.0,-161.0,0.003,0.0015,0.003354101966249685
588,27.0,-161.0,-0.0014,-0.0026,0.00295296461204668
600,51.0,-161.0,0.0092,-0.0005,0.009213576938409969
603,-69.0,-159.0,-0.0039,0.0044,0.00587962583843564
606,-63.0,-159.0,0.0471,-0.0068,0.047588338907761846
607,-61.0,-159.0,0.0318,0.0128,0.034279439902075416
613,-49.0,-159.0,0.061,-0.0356,0.07062832293067704
614,-47.0,-159.0,-0.0035,0.0013,0.003733630940518894
629,-17.0,-159.0,0.0043,-0.001,0.004414748010928823
630,-15.0,-159.0,-0.0026,-0.0009,0.0027513632984395207
631,-13.0,-159.0,-0.0017,-0.0011,0.0020248456731316584
636,-3.0,-159.0,-0.0277,-0.0011,0.02772183255125822
637,-1.0,-159.0,0.0088,-0.0021,0.009047098982546836
645,15.0,-159.0,-0.016,0.0005,0.016007810593582122
649,23.0,-159.0,-0.0095,0.0017,0.00965090669315583
652,29.0,-159.0,-0.0007,0.0011,0.0013038404810405298
653,31.0,-159.0,-0.002,-0.0022,0.0029732137494637013
655,35.0,-159.0,-0.0047,-0.0009,0.0047853944456021594
657,39.0,-159.0,0.0005,-0.0023,0.0023537204591879642
662,49.0,-159.0,0.0055,0.0031,0.006313477647065838
663,51.0,-159.0,0.0111,0.0053,0.012300406497347965
673,-53.0,-157.0,0.0563,0.02,0.05974688276387313
678,-43.0,-157.0,-0.0099,0.0063,0.011734564329364768
682,-35.0,-157.0,-0.0079,-0.0016,0.008060397012554656
684,-31.0,-157.0,-0.0114,0.0025,0.011670903992407786
689,-21.0,-157.0,-0.0091,-0.0054,0.01058158778255891
691,-17.0,-157.0,0.0032,0.0004,0.0032249030993194198
696,-7.0,-157.0,0.0072,-0.0013,0.0073164198895361385
697,-5.0,-157.0,0.0108,0.0007,0.01082266141020775
701,3.0,-157.0,-0.0014,-0.003,0.00331058907144937
702,5.0,-157.0,-0.0087,-0.0004,0.0087091905479212
703,7.0,-157.0,0.0073,0.0017,0.007495331880577404
704,9.0,-157.0,0.0062,-0.0022,0.00657875368135941
705,11.0,-157.0,-0.0147,0.0013,0.014757371039585607
706,13.0,-157.0,0.0014,-0.0069,0.007040596565632773
707,15.0,-157.0,-0.0127,-0.0038,0.013256319247815361
708,17.0,-157.0,-0.0025,0.0011,0.002731300056749533
710,23.0,-157.0,0.0061,0.0015,0.006281719509815764
714,31.0,-157.0,0.0007,-0.0042,0.004257933771208753
715,33.0,-157.0,-0.0047,-0.0009,0.0047853944456021594
722,47.0,-157.0,0.0083,0.0009,0.00834865258589672
733,-55.0,-155.0,0.0654,0.0184,0.06793909036776986
736,-49.0,-155.0,0.026,0.0114,0.028389434654462566
738,-45.0,-155.0,-0.0089,0.0026,0.009272000862812728
739,-43.0,-155.0,-0.009,0.0049,0.010247438704378766
740,-41.0,-155.0,0.0045,-0.0012,0.004657252408878007
742,-37.0,-155.0,-0.0073,-0.0001,0.007300684899377592
743,-35.0,-155.0,-0.006,0.0009,0.006067124524847005
745,-31.0,-155.0,-0.0062,0.0018,0.006456004956627589
754,-13.0,-155.0,0.001,0.0007,0.0012206555615733702
757,-7.0,-155.0,0.011,0.0012,0.011065260954898442
758,-5.0,-155.0,0.0127,-0.0016,0.012800390619039717
771,23.0,-155.0,0.006,-0.006,0.00848528137423857
772,25.0,-155.0,0.0035,-0.003,0.004609772228646444
773,27.0,-155.0,-0.0021,0.0017,0.002701851217221259
775,31.0,-155.0,0.0024,-0.0014,0.0027784887978899607
780,41.0,-155.0,0.0011,-0.0026,0.002823118842698621
784,49.0,-155.0,0.0092,0.0042,0.010113357503816426
785,51.0,-155.0,0.0069,0.0032,0.007605918747922568
787,55.0,-155.0,-0.0285,-0.0093,0.029978992644850492
789,-67.0,-153.0,-0.0012,0.0031,0.0033241540277189324
791,-61.0,-153.0,0.0242,0.0338,0.0415701816209648
793,-57.0,-153.0,0.0437,0.0356,0.05636532622100222
797,-49.0,-153.0,0.0221,-0.0026,0.022252415599210797
798,-47.0,-153.0,-0.0006,-0.0015,0.0016155494421403512
800,-43.0,-153.0,-0.0022,-0.0002,0.002209072203437452
812,-19.0,-153.0,0.0032,-0.0051,0.006020797289396148
814,-15.0,-153.0,-0.0002,0.0007,0.0007280109889280518
815,-13.0,-153.0,0.0029,-0.0011,0.0031016124838541643
816,-11.0,-153.0,-0.0023,-0.0005,0.0023537204591879642
821,-1.0,-153.0,0.0209,-0.0006,0.02090861066642162
823,3.0,-153.0,0.0017,-0.0022,0.0027802877548915687
824,5.0,-153.0,0.0034,0.0004,0.003423448553724738
826,9.0,-153.0,0.0086,-0.0015,0.008729833904490968
829,15.0,-153.0,-0.0051,0.002,0.0054781383699209355
831,19.0,-153.0,-0.0014,0.0029,0.0032202484376209236
837,31.0,-153.0,0.0013,-0.0013,0.0018384776310850235
838,33.0,-153.0,-0.0042,0.005,0.006529931086925803
841,39.0,-153.0,-0.0008,0.0003,0.0008544003745317531
842,41.0,-153.0,0.0021,-0.0008,0.002247220505424423
852,-73.0,-151.0,-0.0058,0.0028,0.006440496875241847
856,-61.0,-151.0,0.0247,0.0415,0.048294306082601504
858,-57.0,-151.0,0.0533,0.0234,0.05821039426081909
862,-49.0,-151.0,0.0255,-0.0001,0.02550019607767752
866,-41.0,-151.0,0.0039,0.003,0.004920365840057017
867,-39.0,-151.0,-0.0051,0.0008,0.005162363799656123
871,-31.0,-151.0,-0.0036,0.0034,0.004951767361255978
881,-9.0,-151.0,-0.0059,0.0026,0.006447480127925948
888,5.0,-151.0,-0.0009,0.0019,0.002102379604162864
902,33.0,-151.0,-0.0026,-0.0028,0.00382099463490856
903,35.0,-151.0,-0.0073,-0.0001,0.007300684899377592
906,41.0,-151.0,0.0009,-0.0019,0.002102379604162864
908,45.0,-151.0,0.0018,-0.0007,0.0019313207915827965
909,47.0,-151.0,0.005,-0.0007,0.005048762224545735
911,51.0,-151.0,0.0038,0.0015,0.0040853396431630995
913,55.0,-151.0,0.0055,-0.0024,0.006000833275470999
927,-45.0,-149.0,-0.0056,0.006,0.008207313811473277
929,-41.0,-149.0,0.0051,-0.0002,0.005103920062069938
931,-37.0,-149.0,0.0006,0.0026,0.0026683328128252666
933,-33.0,-149.0,-0.014,0.0038,0.014506550244630873
936,-27.0,-149.0,-0.0127,-0.0022,0.012889142717807106
937,-25.0,-149.0,-0.0125,0.0005,0.012509996003196805
940,-19.0,-149.0,0.0024,0.0002,0.0024083189157584587
941,-17.0,-149.0,0.0004,0.0002,0.00044721359549995795
942,-15.0,-149.0,0.0035,-0.0012,0.0037
950,1.0,-149.0,-0.0119,0.0023,0.01212023102090055
952,5.0,-149.0,-0.0068,-0.0021,0.007116881339463234
953,7.0,-149.0,0.0068,-0.0008,0.006846897107449476
954,9.0,-149.0,0.0046,0.0008,0.004669047011971501
960,21.0,-149.0,0.0064,0.003,0.007068238818828917
962,25.0,-149.0,0.0057,0.0016,0.005920304046246274
968,37.0,-149.0,0.0014,0.0003,0.0014317821063276352
971,43.0,-149.0,0.0033,-0.0035,0.004810405388322277
975,51.0,-149.0,-0.0001,0.0017,0.0017029386365926401
977,55.0,-149.0,0.0016,0.0013,0.00206155281280883
988,-49.0,-147.0,0.0115,0.0064,0.013160927019021114
990,-45.0,-147.0,-0.0095,0.0047,0.010599056561788884
992,-41.0,-147.0,0.001,0.0041,0.004220189569201839
995,-35.0,-147.0,-0.0083,0.0029,0.008792041856133307
998,-29.0,-147.0,-0.0032,0.001,0.003352610922848042
1001,-23.0,-147.0,-0.0082,0.0001,0.008200609733428363
1004,-17.0,-147.0,0.0016,0.0013,0.00206155281280883
1007,-9.0,-147.0,-0.004,0.0012,0.00417612260356422
1008,-7.0,-147.0,0.0041,0.0014,0.004332435804486895
1011,-1.0,-147.0,0.0236,-0.0028,0.023765521244020715
1012,1.0,-147.0,-0.0152,0.0002,0.015201315732527892
1014,5.0,-147.0,-0.0061,-0.0019,0.0063890531379853155
1017,11.0,-147.0,-0.0062,-0.0004,0.0062128898268036265
1020,17.0,-147.0,-0.0011,0.0017,0.0020248456731316584
1027,31.0,-147.0,-0.0008,0.0019,0.00206155281280883
1029,35.0,-147.0,0.0002,0.0032,0.0032062439083762793
1031,39.0,-147.0,0.0014,-0.0005,0.0014866068747318507
1036,49.0,-147.0,0.0028,0.0018,0.0033286633954186474
1037,51.0,-147.0,-0.0016,0.0014,0.0021260291625469297
1038,53.0,-147.0,0.0078,0.0071,0.010547511554864494
1040,57.0,-147.0,-0.0123,-0.0006,0.012314625451064275
1044,-65.0,-145.0,-0.0027,-0.0002,0.0027073972741361767
1050,-53.0,-145.0,0.0461,0.0227,0.051385795702703685
1051,-51.0,-145.0,0.0964,-0.0271,0.10013675648831452
1053,-47.0,-145.0,-0.0091,0.0071,0.011542096863222037
1055,-43.0,-145.0,-0.0022,0.0032,0.00388329756778952
1062,-29.0,-145.0,-0.0006,-0.0023,0.0023769728648009424
1063,-27.0,-145.0,-0.0198,-0.0033,0.020073116349984127
1065,-23.0,-145.0,-0.0054,0.0016,0.00563205113613149
1066,-21.0,-145.0,-0.0093,0.0004,0.009308598175880188
1069,-11.0,-145.0,-0.0041,0.001,0.004220189569201839
1070,-9.0,-145.0,-0.0063,0.0024,0.006741661516273269
1072,-5.0,-145.0,0.0131,0.0012,0.013154847015454038
1073,-3.0,-145.0,-0.0144,-0.0022,0.014567086187704114
1075,1.0,-145.0,-0.0069,0.0043,0.008130190649671137
1076,3.0,-145.0,-0.0028,0.0027,0.003889730067755345
1082,15.0,-145.0,-0.009,-0.0007,0.009027181176868003
1086,23.0,-145.0,0.0014,-0.0024,0.0027784887978899607
1091,33.0,-145.0,-0.0007,-0.0005,0.0008602325267042627
1094,39.0,-145.0,0.0009,-0.003,0.0031320919526731652
1096,43.0,-145.0,0.0077,0.0019,0.00793095202355934
1100,51.0,-145.0,0.0004,0.0036,0.0036221540552549667
1102,55.0,-145.0,0.0061,0.0054,0.008146778504415104
1107,-63.0,-143.0,0.001,-0.0029,0.0030675723300355932
1110,-57.0,-143.0,0.1159,-0.0648,0.13278497655985033
1113,-51.0,-143.0,0.0708,-0.0152,0.07241325845451232
1115,-47.0,-143.0,-0.0077,-0.0009,0.007752418977325723
1117,-43.0,-143.0,-0.0075,0.0047,0.008850988645343524
1123,-31.0,-143.0,-0.007,0.0018,0.0072277243998370615
1128,-21.0,-143.0,-0.0037,0.0004,0.003721558813185679
1130,-15.0,-143.0,0.0051,0.0021,0.005515432893255071
1131,-13.0,-143.0,-0.0048,0.0003,0.004809365862564419
1135,-5.0,-143.0,0.0119,0.0026,0.012180722474467597
1140,5.0,-143.0,-0.0067,-0.0011,0.0067896980787071825
1142,9.0,-143.0,0.0059,-0.0007,0.005941380311005179
1144,13.0,-143.0,-0.0046,0.0031,0.005547071299343465
1146,17.0,-143.0,-0.0013,0.0012,0.0017691806012954132
1150,25.0,-143.0,0.0065,0.0004,0.006512296062065975
1152,29.0,-143.0,-0.001,-0.0016,0.0018867962264113207
1153,31.0,-143.0,0.0011,-0.0005,0.0012083045973594571
1158,41.0,-143.0,0.0023,-0.0009,0.0024698178070456937
1161,47.0,-143.0,0.0015,-0.0012,0.0019209372712298545
1164,53.0,-143.0,0.0053,0.0032,0.006191122676865643
1165,55.0,-143.0,-0.0073,0.0117,0.013790576492663386
1170,-65.0,-141.0,-0.0042,-0.0039,0.00573149195236284
1177,-51.0,-141.0,0.0741,0.0046,0.07424264273313552
1179,-47.0,-141.0,-0.0112,0.0014,0.011287160847617968
1184,-37.0,-141.0,-0.0034,0.002,0.003944616584663204
1192,-21.0,-141.0,-0.0122,0.0034,0.012664912159190052
1197,-11.0,-141.0,-0.003,0.0013,0.003269556544854363
1198,-9.0,-141.0,0.0031,0.0021,0.003744329045369811
1208,11.0,-141.0,-0.0056,-0.001,0.005688585061331157
1210,15.0,-141.0,-0.0025,-0.0042,0.004887739763939974
1213,21.0,-141.0,0.0039,-0.0003,0.003911521443121589
1216,27.0,-141.0,-0.0015,0.0031,0.003443835071544513
1217,29.0,-141.0,0.0002,-0.0012,0.001216552506059644
1223,41.0,-141.0,0.0027,-0.0023,0.0035468295701936397
1225,45.0,-141.0,0.0006,0.0006,0.000848528137423857
1228,51.0,-141.0,0.0036,0.0029,0.004622769732530487
1230,55.0,-141.0,-0.001,0.0026,0.002785677655436824
1231,57.0,-141.0,0.0016,0.0054,0.00563205113613149
1232,-71.0,-139.0,-0.0026,-0.0178,0.017988885457415088
1234,-65.0,-139.0,-0.0007,-0.0099,0.009924716620639606
1238,-57.0,-139.0,0.1438,-0.0263,0.14618525917478822
1239,-55.0,-139.0,0.0322,0.0049,0.03257069234756916
1240,-53.0,-139.0,0.0583,0.0003,0.05830077186453023
1241,-51.0,-139.0,0.063,0.0197,0.06600825705924979
1243,-47.0,-139.0,-0.0091,0.0062,0.01101135777277262
1255,-23.0,-139.0,-0.0045,0.0004,0.004517742799230606
1260,-13.0,-139.0,-0.0051,0.0007,0.005147815070493501
1271,9.0,-139.0,0.0051,-0.001,0.005197114584074514
1282,31.0,-139.0,-0.0002,-0.0008,0.0008246211251235322
1283,33.0,-139.0,-0.0006,-0.0023,0.0023769728648009424
1284,35.0,-139.0,-0.0037,-0.0008,0.00378549864614954
1286,39.0,-139.0,-0.0039,-0.0025,0.004632493928760187
1288,43.0,-139.0,-0.0009,-0.0009,0.0012727922061357855
1294,55.0,-139.0,-0.0002,0.0034,0.0034058772731852802
1297,-69.0,-137.0,0.0115,-0.0134,0.017658142597679973
1299,-65.0,-137.0,-0.005,-0.0006,0.005035871324805668
1301,-61.0,-137.0,0.0083,-0.0143,0.01653420696616563
1307,-49.0,-137.0,0.0026,0.0094,0.009752948272189288
1311,-41.0,-137.0,-0.0027,0.0063,0.006854195795277518
1313,-37.0,-137.0,-0.0039,0.0044,0.00587962583843564
1321,-21.0,-137.0,-0.0025,-0.0013,0.0028178005607210743
1322,-19.0,-137.0,0.0038,-0.0034,0.005099019513592784
1327,-9.0,-137.0,0.0056,0.0017,0.005852349955359813
1328,-7.0,-137.0,0.0055,-0.0009,0.0055731499172371095
1338,13.0,-137.0,-0.0052,-0.0011,0.005315072906367325
1339,15.0,-137.0,0.0001,-0.0024,0.0024020824298928625
1340,17.0,-137.0,-0.0089,-0.0042,0.009841239759298622
1346,29.0,-137.0,0.0012,0.0019,0.002247220505424423
1350,37.0,-137.0,0.0019,0.0005,0.00196468827043885
1355,47.0,-137.0,0.0006,0.0008,0.001
1356,49.0,-137.0,0.0107,-0.0,0.0107
1362,-67.0,-135.0,0.0015,-0.0037,0.003992492955535426
1367,-57.0,-135.0,0.0405,0.0131,0.04256594883237069
1373,-45.0,-135.0,-0.0113,0.0023,0.0115316954521007
1374,-43.0,-135.0,0.0044,0.0069,0.008183520025025906
1376,-39.0,-135.0,0.0014,0.0031,0.0034014702703389897
1378,-35.0,-135.0,-0.0063,0.0014,0.006453681120105022
1379,-33.0,-135.0,-0.0012,0.0001,0.0012041594578792293
1381,-29.0,-135.0,-0.0112,0.0041,0.011926860441876562
1388,-13.0,-135.0,-0.0075,0.0009,0.007553806987208503
1390,-9.0,-135.0,0.0046,0.0003,0.004609772228646444
1402,15.0,-135.0,0.0075,0.0008,0.007542545989253231
1406,23.0,-135.0,-0.0027,0.0007,0.002789265136196271
1407,25.0,-135.0,0.0054,0.0003,0.005408326913195984
1410,31.0,-135.0,0.0017,-0.0007,0.0018384776310850235
1413,37.0,-135.0,0.0001,-0.0057,0.00570087712549569
1414,39.0,-135.0,0.0024,-0.0021,0.0031890437438203945
1415,41.0,-135.0,0.0012,0.0003,0.0012369316876852982
1416,43.0,-135.0,-0.0012,0.0009,0.0014999999999999998
1417,45.0,-135.0,-0.005,-0.0037,0.006220128616033595
1418,49.0,-135.0,0.0103,-0.0001,0.010300485425454472
1420,53.0,-135.0,-0.0072,0.0046,0.008544003745317531
1421,-67.0,-133.0,-0.0068,0.0073,0.009976472322419383
1422,-65.0,-133.0,0.0173,-0.0058,0.01824636950190366
