cell_id,lat,lon,theta,salt,dT_dx,dT_dy,dS_dx,dS_dy,f_coriolis
154,11.0,-175.0,4.5708,34.55,0.01403,-0.02176,-0.00047,-0.00218,2.7828e-05
159,21.0,-175.0,4.1021,34.497,-0.00434,-0.03442,0.00281,-0.01096,5.2265e-05
166,35.0,-175.0,3.5054,34.2944,-0.00703,-0.001,0.00148,-0.0031,8.3652e-05
169,41.0,-175.0,3.2566,34.326,0.0048,-0.06105,-0.00164,0.00804,9.5681e-05
171,45.0,-175.0,2.9523,34.371,0.01332,-0.07473,-0.00019,0.01167,0.000103126
172,47.0,-175.0,2.8036,34.3881,0.00994,-0.05862,0.00069,0.00467,0.000106662
173,49.0,-175.0,2.6852,34.4052,0.00377,-0.03754,-0.00017,0.00959,0.000110068
175,53.0,-175.0,2.9095,34.3401,-0.04771,-0.01191,0.01612,-0.00543,0.000116475
179,-67.0,-173.0,0.992,34.7179,-0.0342,0.01621,-0.00233,0.00075,-0.000134248
180,-65.0,-173.0,1.3723,34.7294,-0.08752,0.30397,-0.00019,0.00608,-0.000132178
183,-59.0,-173.0,2.4302,34.5962,-0.0054,0.08539,0.00471,-0.03883,-0.000125011
191,-43.0,-173.0,5.7716,34.4019,0.05796,0.07518,-0.00973,0.0094,-9.9464e-05
192,-41.0,-173.0,5.8761,34.401,-0.04515,-0.04957,-0.00367,-0.00748,-9.5681e-05
196,-33.0,-173.0,5.1653,34.3449,-0.01575,0.0023,-0.00231,-0.00247,-7.9431e-05
197,-31.0,-173.0,5.0857,34.3389,-0.00495,-0.05346,-0.00128,-0.00153,-7.5114e-05
198,-29.0,-173.0,5.0125,34.3367,-0.02633,-0.04054,-0.00091,-0.00018,-7.0706e-05
203,-19.0,-173.0,3.9537,34.4447,-0.07104,-0.08296,0.00877,0.01079,-4.7482e-05
204,-17.0,-173.0,3.8269,34.4796,-0.03697,0.01511,0.00557,0.01966,-4.264e-05
205,-15.0,-173.0,4.0497,34.5018,0.00999,0.14486,0.00125,0.00312,-3.7747e-05
211,-3.0,-173.0,4.5217,34.5501,0.00252,-0.01204,9e-05,0.00099,-7.633e-06
213,1.0,-173.0,4.5707,34.5535,0.00687,-0.01086,-0.00036,0.00173,2.545e-06
214,3.0,-173.0,4.5505,34.5561,0.00585,0.00777,-0.00054,0.00019,7.633e-06
222,19.0,-173.0,4.2153,34.5182,0.00698,-0.07959,-0.00014,-0.00554,4.7482e-05
224,23.0,-173.0,3.9762,34.4566,0.00674,-0.10329,-0.0002,-0.0301,5.6985e-05
227,29.0,-173.0,3.6705,34.3268,-0.00622,-0.02437,0.00115,-0.01072,7.0706e-05
230,35.0,-173.0,3.4986,34.2979,-0.00203,-0.01405,0.00071,0.00075,8.3652e-05
231,37.0,-173.0,3.469,34.3011,-0.01042,-0.02576,0.00239,0.00233,8.777e-05
233,41.0,-173.0,3.2545,34.3275,0.00262,-0.03801,0.00305,0.00632,9.5681e-05
234,43.0,-173.0,3.1317,34.3468,-0.00073,-0.07239,0.00168,0.01009,9.9464e-05
238,51.0,-173.0,2.7538,34.3918,0.01467,0.09059,-0.0058,-0.02279,0.000113341
241,-65.0,-171.0,1.3016,34.7275,-0.08253,0.27411,-0.0033,0.00766,-0.000132178
243,-61.0,-171.0,2.1975,34.6799,-0.0305,0.14184,0.00653,-0.03638,-0.000127556
247,-53.0,-171.0,3.6245,34.3477,-0.187,0.29012,0.01403,-0.0277,-0.000116475
248,-51.0,-171.0,3.7043,34.3417,-0.09554,0.12774,0.00256,0.00098,-0.000113341
255,-37.0,-171.0,5.2391,34.3567,-0.08564,-0.09806,-0.00764,-0.00265,-8.777e-05
259,-29.0,-171.0,4.9904,34.3338,0.00395,-0.03051,-0.0017,0.00072,-7.0706e-05
260,-27.0,-171.0,4.8448,34.3384,0.01358,-0.10201,-0.00087,0.0026,-6.6211e-05
261,-25.0,-171.0,4.6046,34.3533,-0.012,-0.10544,-0.00034,0.01199,-6.1635e-05
262,-23.0,-171.0,4.3771,34.3819,-0.00236,-0.08354,-0.00102,0.0147,-5.6985e-05
266,-15.0,-171.0,4.058,34.5074,0.01893,0.14375,0.00327,0.00269,-3.7747e-05
268,-11.0,-171.0,4.4307,34.5241,-0.00706,0.01612,-0.00087,0.00511,-2.7828e-05
274,1.0,-171.0,4.5813,34.5531,-0.00814,0.0,0.00041,0.00068,2.545e-06
280,13.0,-171.0,4.5259,34.543,-0.01689,-0.02008,-0.00028,-0.00458,3.2807e-05
283,19.0,-171.0,4.2573,34.5171,0.03497,-0.08821,-0.00025,-0.00487,4.7482e-05
285,23.0,-171.0,3.9863,34.4601,0.00709,-0.09597,0.00363,-0.0244,5.6985e-05
291,37.0,-171.0,3.4603,34.3025,-0.00519,-0.02994,0.0004,0.00253,8.777e-05
293,41.0,-171.0,3.2611,34.3301,-0.00097,-0.04699,0.00049,0.00899,9.5681e-05
295,47.0,-171.0,2.8234,34.3859,-0.00199,-0.05549,-7e-05,0.00566,0.000106662
296,49.0,-171.0,2.7379,34.3929,0.02003,-0.01829,-0.00402,0.00241,0.000110068
303,-57.0,-169.0,2.5394,34.5448,-0.00482,0.07099,0.00211,-0.03187,-0.000122313
305,-53.0,-169.0,3.2908,34.378,-0.23177,0.26891,0.02533,-0.03862,-0.000116475
306,-51.0,-169.0,3.6489,34.3456,0.04275,0.30956,0.00103,-0.00756,-0.000113341
307,-49.0,-169.0,4.9979,34.3356,0.07276,0.55124,-0.00302,0.00248,-0.000110068
309,-45.0,-169.0,5.6963,34.3487,0.04446,-0.05963,-0.00141,0.00338,-0.000103126
311,-41.0,-169.0,5.5676,34.3651,-0.08842,-0.05507,-0.01407,-0.00643,-9.5681e-05
312,-39.0,-169.0,5.4081,34.3524,-0.04566,-0.09228,-0.01134,-0.00532,-9.1781e-05
313,-37.0,-169.0,5.157,34.3421,-0.00693,-0.08693,-0.00637,-0.00292,-8.777e-05
315,-33.0,-169.0,5.0732,34.3318,-0.02527,-0.00397,-0.00322,0.0008,-7.9431e-05
320,-23.0,-169.0,4.3814,34.387,-5e-05,-0.0858,0.00383,0.01703,-5.6985e-05
321,-21.0,-169.0,4.1547,34.4261,-0.00525,-0.10919,0.00362,0.01733,-5.2265e-05
322,-19.0,-169.0,3.9051,34.4581,0.01151,-0.11438,0.0037,0.01375,-4.7482e-05
324,-15.0,-169.0,4.0918,34.5118,0.00506,0.12095,0.00111,0.00094,-3.7747e-05
328,-7.0,-169.0,4.4823,34.5415,-0.00503,-0.01209,0.00137,0.00506,-1.7774e-05
330,-3.0,-169.0,4.5192,34.5505,0.00824,-0.00988,-0.0003,0.00116,-7.633e-06
332,1.0,-169.0,4.5632,34.5548,0.00015,-0.01152,0.00045,0.00063,2.545e-06
336,9.0,-169.0,4.572,34.5565,0.00372,-0.0183,0.00024,-0.00248,2.2815e-05
339,15.0,-169.0,4.4342,34.5356,-0.01626,-0.03031,-0.00051,-0.00317,3.7747e-05
341,19.0,-169.0,4.3095,34.5175,-0.00304,-0.08999,0.00056,-0.00449,4.7482e-05
343,23.0,-169.0,3.9753,34.468,-0.01588,-0.0429,0.00394,-0.01481,5.6985e-05
345,27.0,-169.0,3.7506,34.3709,-0.02698,-0.04591,0.00189,-0.01956,6.6211e-05
351,39.0,-169.0,3.3609,34.3116,0.00705,-0.03362,-0.00318,0.00621,9.1781e-05
356,49.0,-169.0,2.7585,34.3913,0.00878,-0.02194,0.00111,0.0026,0.000110068
357,51.0,-169.0,2.7329,34.4003,0.00222,0.01145,0.00279,0.00096,0.000113341
360,-65.0,-167.0,1.0593,34.719,-0.14926,0.16736,-0.00496,0.00587,-0.000132178
374,-37.0,-167.0,5.1163,34.3348,-0.03332,-0.05443,-0.00427,-0.00462,-8.777e-05
375,-35.0,-167.0,5.0675,34.3278,-0.0173,-0.00495,-0.00162,-0.00126,-8.3652e-05
387,-11.0,-167.0,4.408,34.5247,0.01771,0.0235,-1e-05,0.0042,-2.7828e-05
390,-5.0,-167.0,4.5555,34.5464,-0.0013,0.02175,0.00028,0.0007,-1.2711e-05
392,-1.0,-167.0,4.5567,34.5514,-0.01059,0.0238,4e-05,0.00116,-2.545e-06
394,3.0,-167.0,4.5487,34.5565,0.01113,0.00989,6e-05,0.00068,7.633e-06
398,11.0,-167.0,4.5713,34.5493,-0.01271,-0.04252,-0.00013,-0.00356,2.7828e-05
399,13.0,-167.0,4.4613,34.5413,-0.03108,-0.01552,0.00031,-0.00327,3.2807e-05
402,19.0,-167.0,4.2692,34.517,-0.0257,-0.0734,-0.00053,-0.00242,4.7482e-05
407,31.0,-167.0,3.6217,34.3162,-0.03235,-0.04083,0.00106,-0.00971,7.5114e-05
409,35.0,-167.0,3.4476,34.2999,-0.00412,-0.02036,-0.00115,0.00041,8.3652e-05
410,37.0,-167.0,3.4217,34.2989,0.00039,-0.01957,-0.00062,0.00131,8.777e-05
412,41.0,-167.0,3.2774,34.3227,-0.004,-0.05922,-0.00077,0.0116,9.5681e-05
413,43.0,-167.0,3.166,34.3433,-0.00634,-0.04581,-0.0002,0.00761,9.9464e-05
414,45.0,-167.0,3.008,34.3655,0.01563,-0.08364,-0.00191,0.01027,0.000103126
415,47.0,-167.0,2.8705,34.38,0.01729,-0.04627,-0.00083,0.0051,0.000106662
416,49.0,-167.0,2.7703,34.3933,0.00971,-0.03932,0.00043,0.00476,0.000110068
417,51.0,-167.0,2.7226,34.4026,-0.01622,0.00046,0.00185,0.00301,0.000113341
418,-67.0,-165.0,0.9217,34.718,0.01221,-0.02555,0.00335,-0.00261,-0.000134248
423,-57.0,-165.0,2.5142,34.557,-0.05194,0.06717,0.02429,-0.02769,-0.000122313
427,-49.0,-165.0,4.6342,34.3269,-0.25457,0.26502,0.00059,0.00023,-0.000110068
429,-45.0,-165.0,5.6839,34.3372,-0.11947,-0.08272,-0.0036,-0.00156,-0.000103126
430,-43.0,-165.0,5.4382,34.336,-0.10184,-0.07087,-0.00574,-8e-05,-9.9464e-05
432,-39.0,-165.0,5.2037,34.3307,-0.08409,-0.08454,-0.00287,-0.00174,-9.1781e-05
437,-29.0,-165.0,4.8582,34.3297,0.00946,-0.03115,-0.00108,0.00326,-7.0706e-05
443,-17.0,-165.0,3.8807,34.4941,0.00282,0.05935,0.00015,0.01232,-4.264e-05
444,-15.0,-165.0,4.0683,34.5095,-0.00968,0.12114,-0.00066,0.00063,-3.7747e-05
450,-3.0,-165.0,4.5126,34.5515,0.00969,-0.00495,0.00059,0.00057,-7.633e-06
452,1.0,-165.0,4.5811,34.5554,-0.00139,0.00239,0.00023,0.00118,2.545e-06
453,3.0,-165.0,4.5699,34.5562,0.00612,0.01488,-0.00026,-0.0002,7.633e-06
455,7.0,-165.0,4.5754,34.5561,0.0019,0.02108,-0.00062,-0.00098,1.7774e-05
457,11.0,-165.0,4.5385,34.5486,-0.01314,-0.03527,-0.00036,-0.00313,2.7828e-05
460,17.0,-165.0,4.3754,34.5232,-0.00365,-0.03327,-9e-05,-0.00482,4.264e-05
464,25.0,-165.0,3.8495,34.4207,0.03469,-0.05648,0.008,-0.01787,6.1635e-05
465,27.0,-165.0,3.7793,34.3863,0.00496,-0.00899,0.00614,-0.0148,6.6211e-05
469,35.0,-165.0,3.4601,34.295,0.00803,-0.02401,-0.0023,-2e-05,8.3652e-05
480,-63.0,-163.0,1.368,34.7285,-0.11683,0.33787,-0.00387,0.00706,-0.000129946
481,-61.0,-163.0,2.0315,34.7123,-0.04918,0.21693,0.00604,-0.02499,-0.000127556
482,-59.0,-163.0,2.3241,34.6429,-0.03325,0.07316,0.01316,-0.0293,-0.000125011
484,-55.0,-163.0,2.6292,34.518,-0.03693,0.15566,0.01331,-0.05404,-0.000119467
490,-43.0,-163.0,5.3266,34.3315,-0.01909,-0.04496,-0.00265,-0.00172,-9.9464e-05
495,-33.0,-163.0,5.0333,34.3234,-0.03098,-0.03216,0.00017,-0.00053,-7.9431e-05
498,-27.0,-163.0,4.7051,34.3371,-0.00531,-0.09793,-0.00089,0.00544,-6.6211e-05
507,-9.0,-163.0,4.4604,34.5323,8e-05,0.02917,0.00181,0.00026,-2.2815e-05
508,-7.0,-163.0,4.4847,34.54,0.00416,0.00359,-0.00026,0.00535,-1.7774e-05
510,-3.0,-163.0,4.5045,34.5525,-0.00224,-0.01227,0.00042,0.00121,-7.633e-06
516,9.0,-163.0,4.5391,34.5566,0.0053,-0.01763,8e-05,-0.0012,2.2815e-05
521,19.0,-163.0,4.2269,34.519,0.00471,-0.07631,-0.00065,-0.00246,4.7482e-05
522,21.0,-163.0,4.0837,34.5029,0.00107,-0.04533,-0.00084,-0.01141,5.2265e-05
524,25.0,-163.0,3.8719,34.432,-0.0183,-0.08216,0.00165,-0.01835,6.1635e-05
528,33.0,-163.0,3.5232,34.302,-0.00289,-0.02818,0.00395,-0.01172,7.9431e-05
530,37.0,-163.0,3.4221,34.2957,-0.01025,-0.00781,-0.00066,0.00113,8.777e-05
533,43.0,-163.0,3.1667,34.3351,0.0134,-0.04707,-0.00453,0.00586,9.9464e-05
534,45.0,-163.0,3.0506,34.3561,0.00592,-0.06399,-0.00204,0.01245,0.000103126
535,47.0,-163.0,2.9124,34.3754,0.01715,-0.06516,-0.00241,0.00614,0.000106662
540,-73.0,-161.0,1.1365,34.7222,0.00536,-0.02483,0.00019,-0.00117,-0.000139469
545,-59.0,-161.0,2.2801,34.6597,-0.04663,0.06825,0.01717,-0.02142,-0.000125011
551,-47.0,-161.0,5.62,34.3329,0.01683,0.02595,-0.0005,0.00122,-0.000106662
555,-39.0,-161.0,5.056,34.3253,-0.02016,-0.05766,-0.00051,-0.00174,-9.1781e-05
556,-37.0,-161.0,4.9577,34.3242,-0.00772,-0.01817,-0.00063,-0.00013,-8.777e-05
561,-27.0,-161.0,4.7012,34.3367,-0.01458,-0.08192,0.00085,0.00642,-6.6211e-05
571,-7.0,-161.0,4.5132,34.5406,0.01195,0.003,0.00037,0.00557,-1.7774e-05
572,-5.0,-161.0,4.5646,34.5463,0.007,0.00465,0.00028,0.00203,-1.2711e-05
576,3.0,-161.0,4.5777,34.5568,-0.0085,0.02582,0.00034,-2e-05,7.633e-06
580,11.0,-161.0,4.5387,34.5513,-5e-05,-0.02373,0.00015,-0.0029,2.7828e-05
583,17.0,-161.0,4.3403,34.5241,-0.00789,-0.03818,-0.00032,-0.0054,4.264e-05
585,21.0,-161.0,4.0845,34.5014,-0.00035,-0.04704,-0.00115,-0.01007,5.2265e-05
586,23.0,-161.0,4.0105,34.4732,0.00167,-0.03161,0.00425,-0.01473,5.6985e-05
587,25.0,-161.0,3.8541,34.4356,0.00927,-0.08656,0.00252,-0.01748,6.1635e-05
588,27.0,-161.0,3.7626,34.402,0.01055,-0.01902,0.00034,-0.01542,6.6211e-05
600,51.0,-161.0,2.7135,34.4053,0.00428,-0.01381,-0.00172,0.00589,0.000113341
603,-69.0,-159.0,1.0017,34.7209,0.01975,-0.01617,-0.00029,-0.00175,-0.000136155
606,-63.0,-159.0,1.2544,34.7238,-0.02975,0.37258,-0.00046,0.00814,-0.000129946
607,-61.0,-159.0,1.9562,34.7213,-0.06827,0.19011,0.00576,-0.0133,-0.000127556
613,-49.0,-159.0,5.392,34.3309,0.2844,0.46817,-0.00053,0.00124,-0.000110068
614,-47.0,-159.0,5.6077,34.3303,-0.02063,-0.0654,-0.00264,-0.00114,-0.000106662
629,-17.0,-159.0,3.9167,34.4961,-0.00742,0.05889,0.00108,0.01191,-4.264e-05
630,-15.0,-159.0,4.0808,34.5098,0.00879,0.11104,0.00088,0.00108,-3.7747e-05
631,-13.0,-159.0,4.3139,34.5155,0.00985,0.06553,0.00016,0.00451,-3.2807e-05
636,-3.0,-159.0,4.515,34.5517,-0.0009,-0.01626,5e-05,0.00026,-7.633e-06
637,-1.0,-159.0,4.5383,34.5519,-0.00546,0.02306,-0.00049,0.00063,-2.545e-06
645,15.0,-159.0,4.4443,34.5347,0.00121,-0.03467,-0.00013,-0.00396,3.7747e-05
649,23.0,-159.0,4.0036,34.478,-0.01677,-0.04346,0.00246,-0.00804,5.6985e-05
652,29.0,-159.0,3.6778,34.3621,-0.00117,-0.04137,6e-05,-0.01713,7.0706e-05
653,31.0,-159.0,3.5902,34.3383,0.00808,-0.04526,0.00145,-0.00891,7.5114e-05
655,35.0,-159.0,3.413,34.2993,-0.00731,-0.02959,0.00314,-0.00455,8.3652e-05
657,39.0,-159.0,3.3444,34.3016,0.00307,-0.02573,-0.00057,0.00448,9.1781e-05
662,49.0,-159.0,2.7937,34.3905,0.01722,-0.06066,-0.0025,0.00816,0.000110068
663,51.0,-159.0,2.722,34.4034,0.00665,-0.00589,-0.00134,0.00413,0.000113341
673,-53.0,-157.0,3.0371,34.4164,-0.06254,0.28726,0.00842,-0.04921,-0.000116475
678,-43.0,-157.0,5.1234,34.3242,-0.02822,-0.04744,-0.00122,-0.00068,-9.9464e-05
682,-35.0,-157.0,4.9563,34.321,-0.01026,0.02152,-0.00045,-0.00071,-8.3652e-05
684,-31.0,-157.0,4.8432,34.3203,0.00057,-0.039,0.00022,0.00092,-7.5114e-05
689,-21.0,-157.0,4.1342,34.4415,-0.00692,-0.04666,-0.00146,0.02007,-5.2265e-05
691,-17.0,-157.0,3.9152,34.4959,-0.00369,0.03458,-0.001,0.01166,-4.264e-05
696,-7.0,-157.0,4.5277,34.5421,0.0068,-0.00696,-0.00011,0.00509,-1.7774e-05
697,-5.0,-157.0,4.5573,34.5478,0.01334,0.02395,-0.00103,0.00092,-1.2711e-05
701,3.0,-157.0,4.5671,34.5564,0.01269,0.01242,0.00025,0.00107,7.633e-06
702,5.0,-157.0,4.55,34.5592,-0.01141,-0.02894,0.00037,0.00092,1.2711e-05
703,7.0,-157.0,4.5815,34.5579,0.00012,0.02201,0.00024,-0.00025,1.7774e-05
704,9.0,-157.0,4.5447,34.5581,0.00618,-0.02859,-0.00011,-0.00099,2.2815e-05
705,11.0,-157.0,4.5325,34.551,0.00294,-0.00112,0.00033,-0.0042,2.7828e-05
706,13.0,-157.0,4.4733,34.544,-0.00135,-0.02714,0.00086,-0.00301,3.2807e-05
707,15.0,-157.0,4.4234,34.5337,-0.01099,-0.03502,-0.00057,-0.00564,3.7747e-05
708,17.0,-157.0,4.3383,34.5229,0.00808,-0.04074,-0.00063,-0.00499,4.264e-05
710,23.0,-157.0,3.9769,34.4811,0.00323,-0.07216,0.0021,-0.00942,5.6985e-05
714,31.0,-157.0,3.5965,34.3376,0.00241,-0.05062,0.00064,-0.0092,7.5114e-05
715,33.0,-157.0,3.5079,34.3187,0.00701,-0.02954,0.00285,-0.00919,7.9431e-05
722,47.0,-157.0,2.9614,34.3675,0.00858,-0.05541,-0.00279,0.00729,0.000106662
733,-55.0,-155.0,2.5646,34.5445,-0.03817,0.14896,0.01591,-0.06128,-0.000119467
736,-49.0,-155.0,5.4298,34.3258,-0.09816,0.20168,-0.00099,0.00062,-0.000110068
738,-45.0,-155.0,5.1813,34.323,-0.09362,-0.09504,-0.00171,-0.0002,-0.000103126
739,-43.0,-155.0,5.0827,34.323,-0.01787,-0.01805,-2e-05,-0.00027,-9.9464e-05
740,-41.0,-155.0,5.0716,34.3231,-0.01358,-0.00221,7e-05,-3e-05,-9.5681e-05
742,-37.0,-155.0,4.8714,34.3224,-0.00215,0.0027,-0.00114,-0.00151,-8.777e-05
743,-35.0,-155.0,4.9316,34.3186,-0.00381,0.00233,-0.0017,-0.00043,-8.3652e-05
745,-31.0,-155.0,4.8321,34.3202,-0.02042,-0.03901,-0.0002,0.00226,-7.5114e-05
754,-13.0,-155.0,4.3291,34.5184,-0.00804,0.07429,0.00135,0.00542,-3.2807e-05
757,-7.0,-155.0,4.5354,34.5409,-0.00409,-0.00114,-0.00031,0.00386,-1.7774e-05
758,-5.0,-155.0,4.5594,34.5453,-0.00317,0.01099,-0.00053,0.00109,-1.2711e-05
771,23.0,-155.0,3.9795,34.486,0.00835,-0.04671,0.0016,-0.00852,5.6985e-05
772,25.0,-155.0,3.8715,34.456,0.03279,-0.04083,0.00528,-0.01966,6.1635e-05
773,27.0,-155.0,3.7894,34.4137,-0.0056,-0.04648,0.00197,-0.0148,6.6211e-05
775,31.0,-155.0,3.623,34.3455,0.0222,-0.03894,0.00829,-0.00913,7.5114e-05
780,41.0,-155.0,3.249,34.3216,0.00101,-0.02196,-0.00167,0.00585,9.5681e-05
784,49.0,-155.0,2.8365,34.384,0.01506,-0.05861,-0.00104,0.00877,0.000110068
785,51.0,-155.0,2.7515,34.3965,0.01788,-0.01724,-0.00207,0.00372,0.000113341
787,55.0,-155.0,2.8331,34.3906,0.02828,0.12487,-0.00494,-0.0221,0.000119467
789,-67.0,-153.0,1.0184,34.7199,-0.00238,0.00357,-0.00051,-0.00048,-0.000134248
791,-61.0,-153.0,1.2275,34.7236,-0.30474,0.20374,-0.00691,0.00392,-0.000127556
793,-57.0,-153.0,2.1793,34.6894,-0.09449,0.14909,0.02112,-0.03554,-0.000122313
797,-49.0,-153.0,5.3606,34.3259,-0.02944,0.20149,0.00073,-0.00077,-0.000110068
798,-47.0,-153.0,5.4053,34.3225,-0.02874,-0.13818,-0.00081,-0.00107,-0.000106662
800,-43.0,-153.0,5.08,34.3228,-0.00456,0.01562,-0.00055,0.00104,-9.9464e-05
812,-19.0,-153.0,3.9895,34.4764,0.02406,-0.07924,0.00572,0.0105,-4.7482e-05
814,-15.0,-153.0,4.0644,34.5125,0.00283,0.09339,0.00043,0.00146,-3.7747e-05
815,-13.0,-153.0,4.3211,34.5194,0.00941,0.10375,-0.00076,0.00407,-3.2807e-05
816,-11.0,-153.0,4.4517,34.5288,0.01135,-0.00298,-0.00073,0.00576,-2.7828e-05
821,-1.0,-153.0,4.551,34.5533,0.01246,0.01604,5e-05,0.00098,-2.545e-06
823,3.0,-153.0,4.5468,34.5577,-0.00896,0.01952,0.0002,0.00067,7.633e-06
824,5.0,-153.0,4.5512,34.5594,-0.00738,-0.02581,0.00076,0.00145,1.2711e-05
826,9.0,-153.0,4.5449,34.558,-0.00308,-0.02639,-0.00012,-0.00189,2.2815e-05
829,15.0,-153.0,4.4602,34.5344,0.00871,0.01709,-0.00045,-0.00688,3.7747e-05
831,19.0,-153.0,4.245,34.5125,0.01042,-0.07509,-5e-05,-0.00275,4.7482e-05
837,31.0,-153.0,3.6445,34.3596,-0.00081,-0.02563,0.00495,-0.00583,7.5114e-05
838,33.0,-153.0,3.5453,34.3428,0.00097,-0.06191,0.00359,-0.01176,7.9431e-05
841,39.0,-153.0,3.3109,34.3079,-0.00267,-0.01885,-0.00099,0.00204,9.1781e-05
842,41.0,-153.0,3.256,34.3183,-0.00429,-0.02783,-0.00065,0.00692,9.5681e-05
852,-73.0,-151.0,1.1814,34.7245,0.01273,-0.01517,0.00152,-0.00091,-0.000139469
856,-61.0,-151.0,0.9556,34.7161,-0.18592,0.13239,-0.00592,0.00373,-0.000127556
858,-57.0,-151.0,2.0625,34.7089,-0.09826,0.20617,0.01099,-0.03067,-0.000122313
862,-49.0,-151.0,5.3288,34.3255,0.0038,0.20596,-0.00132,7e-05,-0.000110068
